epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6619,2.39801,3.14252,1.995,0.00308,0.12424,0.00272,0.00085,3.18068,4256.62,8.03317,0.0705172,0.00327586,0.00327586
2,53.2815,2.52427,2.90893,2.11321,1e-05,0.00271,0,0,4.0975,250.164,59.1803,0.0404518,0.00654376,0.00654376
3,79.7193,2.45908,2.90988,2.09164,0.00015,0.02497,8e-05,1e-05,4.95654,1.35657e+06,585.552,0.0103204,0.00974567,0.00974567
4,106.161,2.37955,2.77993,2.00196,3e-05,0.00704,1e-05,0,4.50899,2230.87,26.7925,0.009703,0.009703,0.009703
5,131.13,2.29032,2.74424,1.93231,0.39317,0.03801,0.02962,0.00981,2.62718,3.70427,2.29016,0.009604,0.009604,0.009604
6,156.239,2.1714,2.58008,1.8796,0.37929,0.05905,0.01866,0.00596,2.45851,3.88421,2.20551,0.009505,0.009505,0.009505
7,181.443,2.16712,2.5006,1.8538,7e-05,0.01897,4e-05,1e-05,4.34461,7.16392,3.79669,0.009406,0.009406,0.009406
8,206.938,2.07743,2.37688,1.78592,0.00011,0.0271,9e-05,2e-05,5.13366,8.1493,5.21407,0.009307,0.009307,0.009307
9,231.827,2.04432,2.37308,1.7563,0.00011,0.0271,9e-05,2e-05,3.80964,4.73836,4.119,0.009208,0.009208,0.009208
10,257.008,2.03545,2.36923,1.77632,0.38943,0.13056,0.02607,0.00888,2.42646,8.02777,2.11809,0.009109,0.009109,0.009109
11,282.012,2.03072,2.33251,1.74643,0.15089,0.15074,0.10852,0.04245,2.25781,3.57263,1.97625,0.00901,0.00901,0.00901
12,306.995,1.98116,2.24676,1.69316,0.19041,0.23469,0.16353,0.07912,1.85765,2.76736,1.64173,0.008911,0.008911,0.008911
13,332.08,1.97311,2.23087,1.73555,0.13227,0.09951,0.08335,0.03598,2.03523,4.63987,1.75477,0.008812,0.008812,0.008812
14,357.083,1.94745,2.20715,1.70292,0.16152,0.24617,0.1561,0.06068,1.98745,5.07183,1.6777,0.008713,0.008713,0.008713
15,382.111,1.92357,2.16555,1.69022,0.54501,0.18348,0.18391,0.08959,1.78858,3.01422,1.59727,0.008614,0.008614,0.008614
16,407.045,1.92247,2.12994,1.68533,0.35355,0.16604,0.2134,0.09346,2.02651,2.59258,1.70865,0.008515,0.008515,0.008515
17,432.105,1.90221,2.09137,1.6571,0.24435,0.24846,0.17834,0.08393,1.80118,2.96627,1.58552,0.008416,0.008416,0.008416
18,457.104,1.92536,2.14704,1.65347,0.21797,0.21672,0.16729,0.0599,2.07685,2.73304,1.75176,0.008317,0.008317,0.008317
19,482.256,1.99573,2.24317,1.70536,0.34576,0.01246,0.00425,0.00147,2.83445,7.57568,2.50207,0.008218,0.008218,0.008218
20,507.231,1.90981,2.1028,1.67284,0.83013,0.1491,0.18199,0.08456,1.91485,2.87248,1.62943,0.008119,0.008119,0.008119
21,532.159,1.89369,2.0785,1.6285,0.2089,0.18364,0.15745,0.07375,1.79249,2.79749,1.52569,0.00802,0.00802,0.00802
