epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6896,2.31344,3.76959,1.8281,0.69343,0.21883,0.20965,0.1155,1.53227,2.72364,1.23495,0.0702609,0.00330435,0.00330435
2,101.048,1.7379,2.59958,1.38765,0.21602,0.42545,0.25155,0.13877,1.48092,2.32128,1.19716,0.0401952,0.00657197,0.00657197
3,151.017,1.65846,2.56875,1.32628,0.76984,0.15962,0.17888,0.08902,1.65919,7.18188,1.29411,0.0100634,0.00977359,0.00977359
4,200.935,1.7053,2.7034,1.33408,0.14508,0.29409,0.13269,0.08191,1.2917,3.16563,1.1836,0.009703,0.009703,0.009703
5,250.843,1.67282,2.34476,1.32866,0.37111,0.2685,0.27798,0.15251,1.43923,2.15761,1.17654,0.009604,0.009604,0.009604
6,300.824,1.70992,2.00737,1.33543,0.19628,0.33653,0.16471,0.07236,1.73797,3.56064,1.27603,0.009505,0.009505,0.009505
7,350.696,1.65415,1.96,1.31335,0.37526,0.37621,0.32275,0.19527,1.35666,2.02486,1.18688,0.009406,0.009406,0.009406
8,400.791,1.6589,1.94698,1.29429,0.64104,0.28011,0.36013,0.19075,1.52999,1.80309,1.21556,0.009307,0.009307,0.009307
9,450.649,1.63572,1.83746,1.28983,0.36952,0.3544,0.33109,0.18557,1.47065,1.87758,1.17241,0.009208,0.009208,0.009208
10,500.497,1.66812,1.87299,1.31009,0.35111,0.38967,0.33779,0.20025,1.37641,1.82852,1.14518,0.009109,0.009109,0.009109
11,550.583,1.6427,1.81092,1.29446,0.34174,0.34935,0.34733,0.20461,1.43356,1.76002,1.17693,0.00901,0.00901,0.00901
12,600.69,1.63154,1.78215,1.28854,0.32788,0.44427,0.33206,0.1994,1.33162,1.84908,1.14181,0.008911,0.008911,0.008911
13,650.616,1.58003,1.74772,1.27458,0.30848,0.38115,0.29921,0.17464,1.45371,1.95898,1.2124,0.008812,0.008812,0.008812
14,700.601,1.58613,1.6796,1.27641,0.42181,0.38406,0.34824,0.20181,1.4245,1.75662,1.21795,0.008713,0.008713,0.008713
15,750.667,1.59744,1.62952,1.30009,0.29218,0.35026,0.29205,0.14374,1.56857,1.99692,1.23224,0.008614,0.008614,0.008614
16,800.806,1.5446,1.6622,1.24631,0.30409,0.34788,0.26411,0.15656,1.34882,3.45935,1.14845,0.008515,0.008515,0.008515
17,850.741,1.55318,1.67383,1.24452,0.45033,0.37009,0.36326,0.2042,1.39346,1.82119,1.14827,0.008416,0.008416,0.008416
18,900.879,1.55221,1.54747,1.25206,0.47016,0.42026,0.4014,0.21274,1.50879,1.66224,1.17865,0.008317,0.008317,0.008317
19,950.99,1.56824,1.60959,1.28653,0.41166,0.41157,0.3619,0.20288,1.44556,1.68653,1.18591,0.008218,0.008218,0.008218
20,1000.93,1.52466,1.55016,1.24302,0.45623,0.41656,0.38822,0.21758,1.36252,1.68182,1.12064,0.008119,0.008119,0.008119
21,1050.97,1.53061,1.56143,1.23606,0.55137,0.41198,0.41528,0.2217,1.44916,1.64841,1.16185,0.00802,0.00802,0.00802
22,1101.12,1.52561,1.56019,1.21978,0.47701,0.49194,0.43371,0.24177,1.41404,1.53709,1.15964,0.007921,0.007921,0.007921
23,1151.12,1.52416,1.53312,1.24905,0.56076,0.44625,0.44464,0.25495,1.34115,1.56331,1.13425,0.007822,0.007822,0.007822
24,1201.23,1.49928,1.48637,1.25093,0.54032,0.39174,0.39069,0.22838,1.33722,1.71177,1.12746,0.007723,0.007723,0.007723
